CASTYPE15657	Megachile sidalceae	SAME_AS	INAT_TAXON:52784	Megachile		genus	Leafcutter, Mortar, and Resin Bees @en	Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Hymenoptera | Apocrita | Aculeata | Apoidea | Anthophila | Megachilidae | Megachilinae | Megachilini | Megachile	INAT_TAXON:1 | INAT_TAXON:47120 | INAT_TAXON:372739 | INAT_TAXON:47158 | INAT_TAXON:184884 | INAT_TAXON:47201 | INAT_TAXON:124417 | INAT_TAXON:326777 | INAT_TAXON:47222 | INAT_TAXON:630955 | INAT_TAXON:52777 | INAT_TAXON:314114 | INAT_TAXON:541027 | INAT_TAXON:52784	kingdom | phylum | subphylum | class | subclass | order | suborder | infraorder | superfamily | epifamily | family | subfamily | tribe | genus		https://inaturalist.org/taxa/52784
CASTYPE15657	Megachile sidalceae	SAME_AS	IRMNG:1256600	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	IRMNG:11 | IRMNG:235 | IRMNG:1096 | IRMNG:10830 | IRMNG:101788 | IRMNG:1256600	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15657	Megachile sidalceae	SAME_AS	ITIS:154366	Megachile		genus		Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Megachile	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154365 | ITIS:633926 | ITIS:633962 | ITIS:154366	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus		http://eol.org/pages/104071
CASTYPE15657	Megachile sidalceae	SAME_AS	WD:Q261844	Megachile		genus		| Megachile	WD:Q530200 | WD:Q261844	null | genus		https://www.wikidata.org/wiki/Q261844
CASTYPE935	Centris tiburonensis	SAME_AS	doi:10.11646/zootaxa.3683.5.1	doi:10.11646/zootaxa.3683.5.1				doi:10.11646/zootaxa.3683.5.1				https://doi.org/10.11646/zootaxa.3683.5.1
CASTYPE935	Centris tiburonensis	SAME_AS	doi:10.11646/zootaxa.4162.1.5	doi:10.11646/zootaxa.4162.1.5				doi:10.11646/zootaxa.4162.1.5				https://doi.org/10.11646/zootaxa.4162.1.5
CASTYPE935	Centris tiburonensis	SAME_AS	doi:10.5281/zenodo.3730347	doi:10.5281/zenodo.3730347				doi:10.5281/zenodo.3730347				https://doi.org/10.5281/zenodo.3730347
CASTYPE935	Centris tiburonensis	SAME_AS	doi:10.5852/ejt.2020.709	doi:10.5852/ejt.2020.709				doi:10.5852/ejt.2020.709				https://doi.org/10.5852/ejt.2020.709
CASTYPE935	Centris tiburonensis	SAME_AS	EOL:42313	Centris		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Apidae | Centris	EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:676 | EOL:677 | EOL:42313	kingdom | phylum | class | order | superfamily | family | genus		http://eol.org/pages/42313
CASTYPE935	Centris tiburonensis	SAME_AS	GBIF:1342796	Centris		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Centris	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:1342796	kingdom | phylum | class | order | family | genus		http://eol.org/pages/42313
